name,nationalteam,battingStyle,bowlingStyle,playingRole,image,team
Quinton de Kock,South Africa,Left hand Bat,,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317947.jpg,Durban's Super Giants
Johnson Charles,West Indies,Right hand Bat,,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/144900/144991.1.jpg,Durban's Super Giants
Kyle Abbott,South Africa,Right hand Bat,Right arm Fast medium,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/267200/267241.1.jpg,Durban's Super Giants
Jason Holder,West Indies,Right hand Bat,Right arm Medium fast,Bowling Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/214700/214757.1.jpg,Durban's Super Giants
Heinrich Klaasen,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317958.jpg,Durban's Super Giants
Simon Harmer,South Africa,Right hand Bat,Right arm Offbreak,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/300700/300764.1.jpg,Durban's Super Giants
Matthew Breetzke,South Africa,Right hand Bat,,Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/271900/271924.jpg,Durban's Super Giants
Carl Junior Dala,South Africa,Right hand Bat,Right arm Medium,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317955.jpg,Durban's Super Giants
Keshav Maharaj,South Africa,Right hand Bat,Slow Left arm Orthodox,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317953.jpg,Durban's Super Giants
Kyle Mayers,West Indies,Left hand Bat,Right arm Medium,Batting Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/316000/316081.png,Durban's Super Giants
Christiaan Jonker,South Africa,Right hand Bat,Right arm Medium fast,Middle order Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/146600/146604.1.jpg,Durban's Super Giants
Dwaine Pretorius,South Africa,Right hand Bat,Right arm Medium fast,Bowling Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317962.jpg,Durban's Super Giants
Akila Dananjaya,Sri Lanka,Left hand Bat,"Right arm Offbreak, Legbreak",Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/348800/348839.gif,Durban's Super Giants
Dilshan Madushanka,Sri Lanka,Right hand Bat,Left arm Medium fast,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/348100/348129.4.jpg,Durban's Super Giants
Wiaan Mulder,South Africa,Right hand Bat,Right arm Medium,Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317942.jpg,Durban's Super Giants
Keemo Paul,West Indies,Right hand Bat,Right arm Fast medium,Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/352300/352355.4.jpg,Durban's Super Giants
Hardus Viljoen,South Africa,Right hand Bat,Right arm Fast,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/309000/309065.png,Durban's Super Giants
Reece Topley,England,Right hand Bat,Left arm Fast medium,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/356800/356811.1.png,Durban's Super Giants
Prenelan Subrayen,South Africa,Right hand Bat,Right arm Offbreak,Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/148400/148444.jpg,Durban's Super Giants
Faf du Plessis,South Africa,Right hand Bat,Legbreak,Middle order Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317961.jpg,Joburg Super Kings
Neil Brand,South Africa,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Joburg Super Kings
Gerald Coetzee,South Africa,Right hand Bat,Right arm Fast,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/345900/345943.4.jpg,Joburg Super Kings
Reeza Hendricks,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317945.jpg,Joburg Super Kings
Nandre Burger,South Africa,Left hand Bat,Left arm Medium fast,Bowling Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/297500/297549.1.jpg,Joburg Super Kings
Donovan Ferreira,South Africa,Right hand Bat,,Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/356800/356889.1.png,Joburg Super Kings
Lewis Gregory,England,Right hand Bat,Right arm Medium fast,Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/305000/305040.jpg,Joburg Super Kings
Leus du Plooy,England,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/324300/324362.png,Joburg Super Kings
George Garton,England,Left hand Bat,Left arm Fast,Bowling Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/241100/241197.1.jpg,Joburg Super Kings
Bongumusa Makhanya,South Africa,Right hand Bat,Right arm Medium,Middle order Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/224000/224071.1.jpg,Joburg Super Kings
Alzarri Joseph,West Indies,Right hand Bat,Right arm Fast,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/321900/321943.png,Joburg Super Kings
Janneman Malan,South Africa,Right hand Bat,Legbreak,Top order Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317957.jpg,Joburg Super Kings
Aaron Phangiso,South Africa,Right hand Bat,Slow Left arm Orthodox,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/238100/238129.jpg,Joburg Super Kings
Malusi  Siboto,South Africa,Left hand Bat,Right arm Medium,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/281000/281051.1.jpg,Joburg Super Kings
Maheesh Theekshana,Sri Lanka,Right hand Bat,Right arm Offbreak,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/336200/336296.4.jpg,Joburg Super Kings
Romario Shepherd,West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/322000/322037.png,Joburg Super Kings
Kyle Verreynne,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317952.jpg,Joburg Super Kings
Matthew Wade,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/263500/263523.1.jpg,Joburg Super Kings
Lizaad Williams,South Africa,Left hand Bat,Right arm Medium fast,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/329300/329354.4.jpg,Joburg Super Kings
Harry Brook,England,Right hand Bat,Right arm Medium,Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/271800/271830.jpg,Joburg Super Kings
Caleb Seleka,South Africa,Right hand Bat,Legbreak,Bowler,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Joburg Super Kings
Rashid Khan,Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/289200/289234.1.jpg,MI Cape Town
Dewald Brevis,South Africa,Right hand Bat,Legbreak,Batting Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/333900/333935.4.jpg,MI Cape Town
Sam  Curran,England,Left hand Bat,Left arm Medium fast,Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/304300/304324.jpg,MI Cape Town
Beuran Hendricks,South Africa,Left hand Bat,Left arm Fast medium,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317967.jpg,MI Cape Town
Jofra Archer,England,Right hand Bat,Right arm Fast,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/305000/305033.jpg,MI Cape Town
Duan Jansen,South Africa,Right hand Bat,Left arm Fast,Bowler,https://www.espncricinfo.com/static/images/espncricinfo-og.png,MI Cape Town
Henry James Hamilton Brookes,England,Right hand Bat,Right arm Fast medium,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/306800/306858.1.jpg,MI Cape Town
Tim David,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/313600/313639.1.jpg,MI Cape Town
George Linde,South Africa,Left hand Bat,Slow Left arm Orthodox,Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317960.jpg,MI Cape Town
Liam Livingstone,England,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/356700/356798.1.png,MI Cape Town
Ziyaad Abrahams,South Africa,Right hand Bat,Right arm Fast,Bowler,https://www.espncricinfo.com/static/images/espncricinfo-og.png,MI Cape Town
Kagiso Rabada,South Africa,Left hand Bat,Right arm Fast,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317954.jpg,MI Cape Town
Grant Roelofsen,South Africa,Right hand Bat,,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/253700/253793.1.jpg,MI Cape Town
Ryan Rickelton,South Africa,Left hand Bat,,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/345900/345935.4.jpg,MI Cape Town
Odean Smith,West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/348100/348147.4.jpg,MI Cape Town
Rassie van der Dussen,South Africa,Right hand Bat,Legbreak,Top order Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317946.jpg,MI Cape Town
Delano Potgieter,South Africa,Left hand Bat,Right arm Medium,Middle order Batter,https://www.espncricinfo.com/static/images/espncricinfo-og.png,MI Cape Town
Olly Stone,England,Right hand Bat,Right arm Fast,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/349500/349594.4.jpg,MI Cape Town
Mohammad Salamkheil,Afghanistan,Right hand Bat,Left arm Wrist spin,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/294300/294370.15.jpg,MI Cape Town
Wesley Marshall,South Africa,Right hand Bat,Right arm Medium,Opening Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/356700/356713.4.jpg,MI Cape Town
David Miller,South Africa,Left hand Bat,Right arm Offbreak,Middle order Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317964.jpg,Paarl Royals
Evan Jones,South Africa,Right hand Bat,Right arm Medium fast,Batting Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/224500/224573.1.jpg,Paarl Royals
Wihan Lubbe,South Africa,Left hand Bat,Right arm Offbreak,Top order Batter,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Paarl Royals
Imran Manack,South Africa,Right hand Bat,Right arm Offbreak,Bowler,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Paarl Royals
Bjorn Fortuin,South Africa,Right hand Bat,Slow Left arm Orthodox,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317966.jpg,Paarl Royals
Jos Buttler,England,Right hand Bat,,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/303900/303969.jpg,Paarl Royals
