name,nationalteam,battingStyle,bowlingStyle,playingRole,image,team
Faf du Plessis,South Africa,Right hand Bat,Legbreak,Middle order Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317961.jpg,Joburg Super Kings
Neil Brand,South Africa,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Joburg Super Kings
Gerald Coetzee,South Africa,Right hand Bat,Right arm Fast,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/345900/345943.4.jpg,Joburg Super Kings
Reeza Hendricks,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317945.jpg,Joburg Super Kings
Nandre Burger,South Africa,Left hand Bat,Left arm Medium fast,Bowling Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/297500/297549.1.jpg,Joburg Super Kings
Donovan Ferreira,South Africa,Right hand Bat,,Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/356800/356889.1.png,Joburg Super Kings
Lewis Gregory,England,Right hand Bat,Right arm Medium fast,Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/305000/305040.jpg,Joburg Super Kings
Leus du Plooy,England,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/324300/324362.png,Joburg Super Kings
George Garton,England,Left hand Bat,Left arm Fast,Bowling Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/241100/241197.1.jpg,Joburg Super Kings
Bongumusa Makhanya,South Africa,Right hand Bat,Right arm Medium,Middle order Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/224000/224071.1.jpg,Joburg Super Kings
Alzarri Joseph,West Indies,Right hand Bat,Right arm Fast,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/321900/321943.png,Joburg Super Kings
Janneman Malan,South Africa,Right hand Bat,Legbreak,Top order Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317957.jpg,Joburg Super Kings
Aaron Phangiso,South Africa,Right hand Bat,Slow Left arm Orthodox,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/238100/238129.jpg,Joburg Super Kings
Malusi  Siboto,South Africa,Left hand Bat,Right arm Medium,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/281000/281051.1.jpg,Joburg Super Kings
Maheesh Theekshana,Sri Lanka,Right hand Bat,Right arm Offbreak,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/336200/336296.4.jpg,Joburg Super Kings
Romario Shepherd,West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/322000/322037.png,Joburg Super Kings
Kyle Verreynne,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317952.jpg,Joburg Super Kings
Matthew Wade,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/263500/263523.1.jpg,Joburg Super Kings
Lizaad Williams,South Africa,Left hand Bat,Right arm Medium fast,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/329300/329354.4.jpg,Joburg Super Kings
Harry Brook,England,Right hand Bat,Right arm Medium,Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/271800/271830.jpg,Joburg Super Kings
Caleb Seleka,South Africa,Right hand Bat,Legbreak,Bowler,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Joburg Super Kings
