name,nationalteam,battingStyle,bowlingStyle,playingRole,image,team
Rashid Khan,Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/289200/289234.1.jpg,MI Cape Town
Dewald Brevis,South Africa,Right hand Bat,Legbreak,Batting Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/333900/333935.4.jpg,MI Cape Town
Sam  Curran,England,Left hand Bat,Left arm Medium fast,Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/304300/304324.jpg,MI Cape Town
Beuran Hendricks,South Africa,Left hand Bat,Left arm Fast medium,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317967.jpg,MI Cape Town
Jofra Archer,England,Right hand Bat,Right arm Fast,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/305000/305033.jpg,MI Cape Town
Duan Jansen,South Africa,Right hand Bat,Left arm Fast,Bowler,https://www.espncricinfo.com/static/images/espncricinfo-og.png,MI Cape Town
Henry James Hamilton Brookes,England,Right hand Bat,Right arm Fast medium,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/306800/306858.1.jpg,MI Cape Town
Tim David,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/313600/313639.1.jpg,MI Cape Town
George Linde,South Africa,Left hand Bat,Slow Left arm Orthodox,Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317960.jpg,MI Cape Town
Liam Livingstone,England,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/356700/356798.1.png,MI Cape Town
Ziyaad Abrahams,South Africa,Right hand Bat,Right arm Fast,Bowler,https://www.espncricinfo.com/static/images/espncricinfo-og.png,MI Cape Town
Kagiso Rabada,South Africa,Left hand Bat,Right arm Fast,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317954.jpg,MI Cape Town
Grant Roelofsen,South Africa,Right hand Bat,,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/253700/253793.1.jpg,MI Cape Town
Ryan Rickelton,South Africa,Left hand Bat,,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/345900/345935.4.jpg,MI Cape Town
Odean Smith,West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/348100/348147.4.jpg,MI Cape Town
Rassie van der Dussen,South Africa,Right hand Bat,Legbreak,Top order Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317946.jpg,MI Cape Town
Delano Potgieter,South Africa,Left hand Bat,Right arm Medium,Middle order Batter,https://www.espncricinfo.com/static/images/espncricinfo-og.png,MI Cape Town
Olly Stone,England,Right hand Bat,Right arm Fast,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/349500/349594.4.jpg,MI Cape Town
Mohammad Salamkheil,Afghanistan,Right hand Bat,Left arm Wrist spin,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/294300/294370.15.jpg,MI Cape Town
Wesley Marshall,South Africa,Right hand Bat,Right arm Medium,Opening Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/356700/356713.4.jpg,MI Cape Town
