name,nationalteam,battingStyle,bowlingStyle,playingRole,image,team
David Miller,South Africa,Left hand Bat,Right arm Offbreak,Middle order Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317964.jpg,Paarl Royals
Evan Jones,South Africa,Right hand Bat,Right arm Medium fast,Batting Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/224500/224573.1.jpg,Paarl Royals
Wihan Lubbe,South Africa,Left hand Bat,Right arm Offbreak,Top order Batter,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Paarl Royals
Imran Manack,South Africa,Right hand Bat,Right arm Offbreak,Bowler,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Paarl Royals
Bjorn Fortuin,South Africa,Right hand Bat,Slow Left arm Orthodox,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317966.jpg,Paarl Royals
Jos Buttler,England,Right hand Bat,,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/303900/303969.jpg,Paarl Royals
Ferisco Adams,South Africa,Right hand Bat,Right arm Fast medium,Bowling Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/297400/297407.1.jpg,Paarl Royals
Obed McCoy,West Indies,Left hand Bat,Left arm Fast medium,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/322000/322031.png,Paarl Royals
Codi Yusuf,South Africa,Right hand Bat,Right arm Medium,Allrounder,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Paarl Royals
Andile Phehlukwayo,South Africa,Left hand Bat,Right arm Medium fast,Bowling Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317969.jpg,Paarl Royals
Eoin Morgan,England,Left hand Bat,Right arm Medium,Middle order Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/303900/303947.jpg,Paarl Royals
Lungi Ngidi,South Africa,Right hand Bat,Right arm Fast medium,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317951.jpg,Paarl Royals
Corbin Bosch,South Africa,Right hand Bat,Right arm Fast medium,Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/224500/224563.1.jpg,Paarl Royals
Tabraiz Shamsi,South Africa,Right hand Bat,Left arm Wrist spin,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317943.jpg,Paarl Royals
Jason Roy,England,Right hand Bat,,Opening Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/303900/303963.jpg,Paarl Royals
Ramon Simmonds,West Indies,Left hand Bat,Left arm Fast medium,Bowler,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Paarl Royals
Mitchell Van Buuren,South Africa,Right hand Bat,Legbreak Googly,Middle order Batter,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Paarl Royals
Dane Vilas,South Africa,Right hand Bat,,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/312100/312187.png,Paarl Royals
