name,nationalteam,battingStyle,bowlingStyle,playingRole,image,team
Josh Little,Ireland,Right hand Bat,Left arm Fast medium,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/257600/257637.1.jpg,Pretoria Capitals
Wayne Parnell,South Africa,Left hand Bat,Left arm Medium fast,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/263700/263777.1.jpg,Pretoria Capitals
Will Jacks,England,Right hand Bat,Right arm Offbreak,Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/296200/296209.1.jpg,Pretoria Capitals
Kusal Mendis,Sri Lanka,Right hand Bat,Legbreak,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/303800/303835.png,Pretoria Capitals
Shane Dadswell,South Africa,Right hand Bat,Right arm Medium fast,Middle order Batter,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Pretoria Capitals
Cameron Scott Delport,South Africa,Left hand Bat,Right arm Medium,Top order Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/312100/312191.png,Pretoria Capitals
Anrich Nortje,South Africa,Right hand Bat,Right arm Fast,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317968.jpg,Pretoria Capitals
Senuran Muthusamy,South Africa,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/315300/315335.jpg,Pretoria Capitals
Eathan Bosch,South Africa,Right hand Bat,Right arm Fast,Bowler,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Pretoria Capitals
Daryn Dupavillon,South Africa,Right hand Bat,Right arm Fast,Bowler,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Pretoria Capitals
James Neesham,New Zealand,Left hand Bat,Right arm Medium fast,Batting Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/303600/303603.jpg,Pretoria Capitals
Marco Marais,South Africa,Right hand Bat,Right arm Medium fast,,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Pretoria Capitals
Phil Salt,England,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/312100/312181.png,Pretoria Capitals
Theunisde Bruyn,South Africa,Right hand Bat,Right arm Medium fast,Middle order Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/148400/148440.jpg,Pretoria Capitals
Adil Rashid,England,Right hand Bat,Legbreak,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/289600/289662.1.jpg,Pretoria Capitals
Rilee Rossouw,South Africa,Left hand Bat,Right arm Offbreak,Top order Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/312100/312176.png,Pretoria Capitals
Migael Pretorius,South Africa,Right hand Bat,Right arm Fast medium,Bowler,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Pretoria Capitals
Shaun von Berg,South Africa,Right hand Bat,Legbreak,Bowling Allrounder,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Pretoria Capitals
