name,nationalteam,battingStyle,bowlingStyle,playingRole,image,team
Thomas Abell,England,Right hand Bat,Right arm Medium,Batting Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/297700/297791.1.jpg,Sunrisers Eastern Cape
Marques Ackerman,South Africa,Left hand Bat,Right arm Offbreak,Middle order Batter,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Sunrisers Eastern Cape
Ottniel Baartman,South Africa,Right hand Bat,Right arm Medium fast,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/224900/224923.1.jpg,Sunrisers Eastern Cape
Aiden Markram,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317970.jpg,Sunrisers Eastern Cape
Mason Sidney Crane,England,Right hand Bat,Legbreak Googly,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/304300/304326.jpg,Sunrisers Eastern Cape
Jordan Cox,England,Right hand Bat,,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/325900/325921.4.jpg,Sunrisers Eastern Cape
Brydon Carse,England,Right hand Bat,Right arm Fast,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/325900/325920.4.jpg,Sunrisers Eastern Cape
Marco Jansen,South Africa,Right hand Bat,Left arm Medium fast,Bowling Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/335000/335050.4.jpg,Sunrisers Eastern Cape
Jordan Hermann,South Africa,Left hand Bat,,Middle order Batter,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Sunrisers Eastern Cape
Junaid Dawood,South Africa,Right hand Bat,Legbreak,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/327000/327070.1.jpg,Sunrisers Eastern Cape
Sarel Erwee,South Africa,Left hand Bat,Right arm Offbreak,Opening Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/345900/345939.4.jpg,Sunrisers Eastern Cape
Adam Rossington,England,Right hand Bat,,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/145400/145487.1.jpg,Sunrisers Eastern Cape
James Fuller,England,Right hand Bat,Right arm Fast medium,Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/131000/131099.1.jpg,Sunrisers Eastern Cape
Ayabulela Gqamane,South Africa,Right hand Bat,Right arm Fast medium,Bowling Allrounder,https://www.espncricinfo.com/static/images/espncricinfo-og.png,Sunrisers Eastern Cape
Sisanda Magala,South Africa,Right hand Bat,Right arm Fast medium,Bowler,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/324700/324707.1.jpg,Sunrisers Eastern Cape
Roelof  van der Merwe,Netherlands,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/217400/217463.1.jpg,Sunrisers Eastern Cape
Tristan Stubbs,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/345900/345940.4.jpg,Sunrisers Eastern Cape
JJ Smuts,South Africa,Right hand Bat,Slow Left arm Orthodox,Batting Allrounder,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/317900/317956.jpg,Sunrisers Eastern Cape
